CLIENTNUM,Total_Relationship_Count,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
820582308,6,1528,0.414,1394,35,0.522
789973308,3,1932,1.312,1341,24,1.182
712876233,5,1515,0.857,1289,33,0.435
804595158,6,2517,0.475,1112,23,1.875
714826758,4,1801,0.751,2339,57,0.966
779058108,6,1823,0.703,1468,23,0.353
710790258,6,1899,0.85,1334,35,0.4
715623483,4,1695,1.242,1457,41,1.412
715156383,6,1533,0.924,1603,29,0.526
711013983,2,0,0.585,615,12,0.714
755420433,2,1417,0.383,1068,20,0.818
794543958,5,1219,1.129,1590,27,2.0
716396358,5,1910,0.921,1531,35,0.667
715398033,4,2056,0.607,1212,31,0.722
711743883,5,0,0.483,1237,32,0.6
719720058,4,837,1.932,1413,14,1.8
778992108,5,0,1.702,1516,29,1.636
717539808,3,0,0.731,1276,21,1.333
714070758,4,1953,0.875,1564,35,2.182
714107958,4,0,0.579,1465,34,0.619
789140283,5,2037,0.85,1286,29,0.933
715550508,5,2440,1.705,1312,20,1.222
719712633,6,895,1.656,1673,32,0.882
772629333,5,1200,0.597,1313,30,0.304
720336708,5,1706,1.047,1609,42,0.68
802013583,3,2250,0.576,1158,19,0.727
711887583,2,1628,0.696,836,18,0.385
714778833,4,1960,0.619,1289,22,1.0
713843283,5,2053,1.034,1487,26,0.733
779155158,6,1264,0.562,1259,33,0.5
721091583,3,1879,0.788,1298,15,1.5
713572683,3,0,0.883,1226,34,0.789
716657058,2,926,0.762,1566,37,0.542
779509983,6,931,0.828,1022,21,1.1
717929133,5,2440,1.283,1235,30,0.667
808284783,6,0,0.813,1951,44,1.095
708476808,6,1960,0.618,1047,31,0.824
710916408,4,1886,0.56,1342,32,0.391
708492558,5,865,0.939,1107,21,1.625
799825758,5,1674,0.588,1251,35,0.346
718619883,2,706,1.674,1305,24,3.0
711844758,6,1294,0.791,1388,37,1.056
714798783,6,895,1.826,1235,18,1.571
826762908,3,1273,1.024,2089,36,1.118
771894558,4,1559,1.873,1626,25,0.786
721074183,4,1196,0.712,1111,24,1.0
715259583,3,1901,0.816,1553,38,1.0
718414008,3,1023,1.004,1064,13,0.625
719666283,4,1951,0.766,1243,29,0.611
714877233,3,1836,1.584,1659,38,1.533
785387883,4,1540,0.566,1594,47,0.382
771075258,2,1527,0.526,1268,42,0.355
711318033,4,0,0.676,1304,24,0.846
783554958,6,0,0.567,1368,30,0.364
720201033,3,2227,0.622,720,23,0.353
718039683,3,1300,0.846,1521,29,1.417
710806083,4,2090,0.7,1137,30,0.765
714752208,5,1985,0.788,978,16,0.778
822063408,5,2517,0.632,1221,16,2.2
714490308,3,1662,1.186,1565,28,1.545
713356833,3,2517,1.541,1578,34,0.7
711402333,2,797,0.541,1493,32,1.0
708296883,3,788,0.688,1178,27,0.929
719154483,5,2100,0.839,991,26,0.733
717721458,5,1186,1.689,2560,42,1.211
711112683,6,1568,1.236,1657,29,1.231
715674483,4,2517,0.939,1204,19,0.727
789322833,1,0,0.654,673,18,0.8
789968058,6,2327,0.649,1131,18,0.636
709919283,2,2517,1.996,1576,25,1.5
718744008,3,1128,0.397,1217,20,0.667
767712558,2,0,0.71,530,10,1.0
712950783,3,0,0.76,739,16,0.455
716104983,6,2117,1.162,1617,31,2.875
818839983,3,1536,1.317,1592,34,1.0
772288758,4,1228,0.728,1343,30,1.308
712350858,4,1104,0.572,1303,39,0.625
711009708,5,0,1.047,1351,22,0.467
712720158,5,1652,1.255,1910,32,1.909
712215258,2,0,0.868,1298,22,0.571
773827008,6,1540,0.469,1087,29,1.231
795232683,4,930,2.121,1439,26,1.364
713786508,3,0,0.786,1238,28,0.75
713539833,6,0,1.373,1716,29,0.812
712454058,6,618,0.554,1099,27,0.8
718759833,4,0,1.3,1058,24,2.429
718803333,2,1954,0.971,1285,29,0.706
720253908,5,1024,1.009,1651,28,1.0
714133158,2,1305,0.852,1152,31,0.824
713187033,3,2071,1.248,1767,38,2.167
714791208,6,2114,0.508,1039,24,0.263
772426383,5,1570,1.077,1130,28,1.333
710975883,3,1761,0.682,1645,30,0.429
714264408,4,746,0.993,1413,29,0.706
715827858,3,2173,1.456,1218,23,2.286
713741358,6,2517,0.658,597,17,0.7
709531908,5,0,0.776,2184,53,0.828
716493408,4,1719,0.86,1592,37,1.467
714141108,6,893,0.567,1388,28,0.75
708953883,2,0,0.713,757,20,0.25
712608783,3,1260,0.588,1504,34,0.789
820353558,4,1434,0.644,1503,34,0.478
714964758,5,1777,0.791,1105,28,0.867
716264358,2,1836,1.432,2398,47,0.88
717296808,4,2517,2.053,1661,32,1.0
712977183,6,1072,0.706,1421,22,1.444
710829108,4,985,0.35,999,28,0.556
779562633,3,2248,1.791,1387,18,0.8
715315833,6,2107,0.948,1243,24,1.0
815500983,5,2001,1.334,1860,36,1.0
719360583,6,1701,0.747,1502,25,1.273
709701558,2,1251,0.949,1460,50,1.083
721148358,6,0,0.646,1348,27,0.286
779862408,3,462,1.161,1087,33,0.941
812627208,5,738,0.782,1226,33,0.571
711033408,5,1626,0.701,1230,28,0.867
779956608,6,0,0.688,1555,32,0.684
780376683,5,1976,1.768,1827,24,3.0
717912483,5,0,0.731,1376,35,0.591
714454758,4,1594,0.896,1771,37,0.762
780466533,3,1676,1.097,1873,52,0.529
715735233,5,1598,0.971,1679,42,0.556
720476733,2,799,0.819,1002,22,0.571
715872333,3,1998,0.829,1344,21,1.1
712375758,3,1423,1.642,1461,42,0.75
708868233,1,900,0.743,760,21,0.615
718030083,4,1687,1.242,1428,22,1.444
720707283,5,866,0.869,1777,42,0.75
771698658,4,2006,0.619,1302,27,0.8
748326258,4,1632,1.509,1483,41,0.519
770817783,3,1679,0.623,1060,27,0.5
779353083,4,1468,0.505,1330,32,0.684
711441333,3,1580,0.504,1229,27,0.8
719808558,2,0,0.707,886,27,0.421
711551958,3,0,0.688,844,24,0.5
809164083,2,1779,1.259,1450,37,0.947
820596183,2,2395,1.071,2311,48,0.714
715999608,4,1649,0.93,1378,26,1.167
710565408,3,1359,1.327,1033,26,1.364
805543158,5,2207,0.869,1523,40,1.105
709752183,4,2517,0.615,1374,37,0.762
716479233,5,1721,0.908,1080,21,1.333
713837058,3,1955,0.531,1234,24,0.714
718876683,5,1168,0.638,1600,32,0.455
770746908,5,2509,0.971,1155,32,0.882
794843883,6,1202,0.603,1353,33,0.737
803043933,4,1835,2.368,1546,25,1.273
758076408,2,1603,0.579,1590,43,1.263
714606558,5,1272,1.008,1448,22,1.0
778425408,5,2295,0.569,1271,24,0.714
714171108,6,1141,0.616,1223,20,0.538
719662458,5,679,0.859,1117,29,1.071
713137233,4,1789,0.75,994,24,0.846
769425858,4,0,0.81,1468,26,0.625
711297483,6,2222,0.853,1658,38,0.357
788900883,3,1304,0.604,1368,38,0.407
758348808,4,1666,0.613,1218,18,0.8
772336458,4,1025,0.838,702,12,0.714
708711483,2,1740,1.727,1516,21,2.0
717906783,5,1748,1.073,1310,26,1.0
719437908,6,1644,0.921,1767,50,0.923
769433508,6,1819,0.767,933,25,0.923
790096533,4,1301,1.207,1512,27,1.455
720997383,2,1833,0.723,829,17,0.7
787541883,3,0,0.483,1120,27,0.35
709930758,5,1222,0.538,1506,33,0.941
789830058,4,1585,0.621,1384,36,2.273
710299608,2,2517,0.993,817,30,0.667
710741208,4,1475,1.148,2094,25,0.667
821797008,2,0,0.734,815,21,0.615
708874533,1,0,0.789,510,24,0.6
715341858,6,1289,0.939,1377,49,0.69
793636308,2,1650,0.912,1193,33,0.65
713779908,6,1666,0.343,1287,36,0.636
712125258,3,0,0.98,701,19,0.727
709703433,4,1532,1.018,1770,25,0.923
721022433,5,2480,0.435,1409,35,0.167
710103558,4,1486,0.868,1354,28,0.647
715952883,5,1125,1.363,1765,34,1.615
719731458,6,709,0.538,1192,27,0.588
772390908,2,1054,0.616,687,17,0.545
787348608,3,1495,0.581,1227,15,0.875
709485033,4,1152,0.969,1737,26,1.6
715432608,4,953,0.769,1348,34,1.125
799471833,4,1510,0.609,1435,38,0.462
714187533,2,849,0.456,1321,28,0.75
779656908,6,1378,0.73,1479,29,0.611
788950158,2,1652,0.854,1283,39,1.294
778867533,1,0,1.038,689,23,0.353
710620383,6,1171,0.655,965,17,1.125
778661358,2,2143,1.53,1541,40,1.0
789483333,5,795,0.707,1258,23,1.3
809855808,5,1650,0.708,1339,20,0.538
718464258,2,1082,0.701,1007,22,1.444
708528483,6,2430,0.617,1387,33,1.357
771809733,1,0,1.021,960,18,0.385
719942883,3,1434,0.923,1119,18,3.5
807226683,6,1115,0.549,1642,41,0.519
717806133,5,0,0.795,1382,31,1.067
720615708,6,0,0.814,1232,32,0.684
714511758,4,1029,0.838,1542,16,1.286
715050408,4,1576,0.826,1094,32,0.524
721132233,2,1769,0.759,1217,30,1.143
719211558,1,0,0.898,744,18,1.0
712069008,4,1007,0.84,1614,33,0.737
715996983,5,2481,1.302,1747,31,1.214
773466258,3,1100,0.587,1144,22,1.0
798983508,4,1440,1.117,1575,34,2.4
719117433,4,2168,0.859,1463,24,1.667
716451183,5,1711,1.434,1706,21,1.625
718621608,3,0,1.129,909,14,0.273
715085733,3,1999,2.145,2434,33,1.538
788977833,2,1274,1.015,1876,41,0.783
720272958,3,0,0.953,1000,25,0.786
708421833,6,2517,0.771,1139,30,0.765
709173108,6,2221,0.491,799,21,0.235
709879458,2,1376,0.89,1881,45,0.607
715120608,2,1703,0.955,1273,27,0.588
770632758,2,1608,0.587,1328,33,0.571
779078733,3,1682,0.631,1579,36,1.118
771742533,5,1718,0.607,937,28,0.556
720250158,6,1814,1.178,1749,37,2.083
716458983,5,837,1.859,1424,29,1.417
713747733,5,2217,0.799,2011,41,0.783
712270158,5,1250,0.728,1208,31,0.632
789562383,2,583,0.888,1259,24,1.0
754897008,2,1418,0.612,1319,26,0.368
819700533,5,2303,0.804,949,27,2.0
712890408,5,1343,0.869,1338,30,1.308
720248208,6,1577,0.657,1554,26,0.444
779749908,2,2061,0.722,1350,32,0.455
717401883,5,1130,0.963,1694,44,0.76
721509558,3,1707,0.816,1678,40,0.538
710572458,4,0,0.742,2069,43,0.536
714576183,6,2030,0.776,1222,23,0.438
721425558,2,0,0.788,1536,37,0.423
711109908,2,2475,0.697,1400,31,2.1
715203108,2,930,0.885,1050,28,1.154
710027508,3,1047,0.984,1389,33,1.2
787464408,5,0,0.656,1184,29,0.611
783542133,5,2223,1.32,2093,42,1.0
708330858,2,1381,0.798,678,11,0.833
714426783,2,2154,1.084,1467,29,1.417
712701333,5,2169,0.374,1219,27,0.5
709494483,4,1912,1.256,1730,36,0.565
773373108,4,2070,0.541,1025,28,0.647
715812258,5,1539,0.645,1165,33,0.833
778286433,4,1297,1.012,2133,55,0.719
789270033,3,0,0.448,1122,13,0.182
711569433,4,1926,0.549,1083,22,1.75
720214833,3,2177,1.32,1234,23,1.875
709346133,3,2376,1.252,1277,23,1.875
788194458,4,2517,0.952,1843,35,0.944
720779733,3,1355,0.685,1747,49,0.581
717424458,3,1823,0.617,1166,22,1.444
708820308,6,2505,0.627,1326,31,0.824
710558058,4,2517,0.944,1619,36,1.0
770590758,5,1069,0.581,1285,16,0.333
718490658,4,2242,0.816,1142,28,1.0
711985833,4,1605,0.574,1190,46,0.643
708967608,3,1785,1.051,1052,24,0.714
718505958,5,1699,0.771,1628,38,0.727
715024233,6,1844,0.986,1740,32,0.882
779249583,4,2462,1.707,1378,29,0.812
709278258,4,2517,0.821,996,26,0.444
778928283,3,2321,1.315,1389,32,0.6
712299858,5,1571,1.031,1365,38,1.0
799224108,5,1942,1.027,1715,43,0.87
809976033,6,1560,0.827,1582,25,0.786
716203308,6,1692,0.62,1220,22,0.692
714871683,2,537,0.819,715,13,0.182
716139933,3,1710,1.223,2552,49,1.227
716984658,3,0,0.507,1106,31,0.938
713086008,6,2439,1.269,1731,34,1.833
713773458,5,1173,0.541,1435,32,0.6
719242533,5,2517,0.994,1882,38,0.652
772712658,5,1648,1.227,2058,34,0.789
788868858,4,2517,1.019,1658,32,1.462
811898133,3,2117,1.049,1334,32,0.6
788808633,5,1090,0.751,1441,29,0.812
779804208,6,0,0.939,1371,39,1.167
781391058,6,1375,0.683,1991,38,0.583
790134408,6,755,1.166,1278,22,1.444
788853258,3,1503,0.797,1734,39,1.167
711857733,3,2517,0.703,1330,34,1.125
822969858,4,1465,1.503,1787,31,0.722
719554758,6,2165,0.837,1672,32,0.524
711643458,6,0,1.068,1439,41,1.05
788830683,5,2031,1.284,1558,31,0.938
807030858,6,2274,0.788,1795,47,0.679
793059108,6,1440,0.431,893,22,0.375
716568708,6,0,0.844,1099,27,0.588
828281733,3,848,0.762,1408,23,1.091
717229158,6,969,0.999,1893,15,2.75
715915458,5,1644,1.052,1151,31,1.385
819129858,5,1270,0.93,1519,31,0.938
713441958,5,1785,0.572,1245,25,0.786
719091333,3,793,0.685,1102,27,0.286
708666258,5,1799,0.566,1402,33,0.737
714914583,6,1521,0.974,1060,30,1.308
714363858,3,1411,0.817,1459,35,1.188
721347408,4,1403,0.886,1456,39,0.444
809608533,6,1586,0.921,1439,48,1.0
772047183,6,1766,0.828,1353,24,1.182
714217908,5,1560,0.751,1173,32,0.391
714819183,5,1955,1.174,1746,28,1.0
716455683,3,726,0.556,1279,28,0.867
710865633,4,2250,0.484,1307,29,0.261
752952108,6,1818,0.711,1473,37,1.176
712595433,6,1794,0.778,1805,37,0.762
714982383,4,2381,0.996,1421,23,1.3
813814008,6,1576,0.728,1272,37,1.312
794545983,3,1980,0.616,1409,34,0.619
708288108,2,1547,1.087,647,15,0.364
715585158,3,1617,0.578,1275,25,0.667
810449883,6,1915,0.794,1270,27,0.588
789863208,3,1480,0.979,1702,37,0.947
715022133,6,1162,0.644,1256,26,1.0
712506708,6,2008,0.944,3178,53,0.656
715699983,5,1233,1.521,1626,29,1.636
818942433,6,1288,0.597,1562,33,0.5
712459233,5,1346,1.052,1960,57,0.727
716545383,3,1554,1.087,1154,38,1.235
721144383,5,843,0.637,1629,38,0.727
821837958,3,1662,0.693,1226,25,0.923
804359133,5,2233,1.095,1743,27,0.929
713308683,5,1306,0.791,1139,39,0.444
788780958,6,1253,0.638,1073,21,0.4
717354558,3,1120,1.045,683,17,0.7
798473808,3,0,0.511,1159,32,0.684
712372158,6,2086,0.986,1859,47,0.958
715192308,6,2094,0.648,1205,28,0.867
708813033,5,2033,0.83,1409,37,0.37
714639783,3,0,0.742,1000,18,0.059
709311633,6,0,0.61,1209,39,0.3
709470858,5,1254,0.869,1366,25,0.786
717292758,5,0,0.466,1161,44,0.375
779241783,4,1675,0.781,1512,38,0.407
715205358,4,913,1.059,1750,35,1.333
778871508,6,1954,1.139,1170,24,0.846
779462433,3,968,1.081,2218,50,0.613
710147958,3,1249,1.01,1198,33,0.833
709864833,3,1965,0.637,1329,26,0.444
778868958,3,1673,0.835,857,36,1.118
717276708,3,2517,0.589,1470,30,1.143
710004933,3,1454,0.708,1435,25,1.778
753606108,3,0,0.503,1093,22,0.833
710940183,6,0,0.727,715,20,0.818
718927533,5,2517,0.912,1512,42,0.909
719337408,6,0,1.636,2399,43,0.955
772308408,6,785,0.543,906,22,1.2
712981383,3,1930,0.75,1052,16,1.286
790099758,4,1001,0.786,975,11,0.833
709547658,5,1299,0.842,783,20,0.667
778770783,6,1916,0.781,990,21,0.909
713134458,4,0,0.576,1097,24,0.5
712159083,2,0,0.917,901,35,0.522
713639958,5,820,0.64,1327,41,0.864
771180033,6,1851,2.023,1814,31,0.722
717916758,4,2388,0.777,1365,34,1.429
711089733,3,0,0.876,1058,34,0.889
716988633,6,0,0.785,1476,38,0.9
779031033,6,1627,0.747,1230,36,0.565
716302383,3,2081,0.909,1581,44,0.833
718281408,3,1257,1.134,1534,29,0.933
721333233,4,1727,0.693,1612,39,1.438
794496033,6,2280,0.674,1302,36,0.636
710519433,3,2517,0.602,1439,40,0.481
814995933,5,1794,0.564,1724,45,0.452
721469433,5,1390,1.205,1784,35,0.944
788386908,3,1531,0.862,1156,29,1.071
717198633,6,1469,1.322,2556,49,1.13
767695083,3,0,0.845,1590,37,0.37
711791583,1,0,1.005,884,19,0.727
712315683,1,1518,1.019,973,25,0.923
710038008,3,0,0.741,1447,30,0.875
789129033,5,877,0.772,1150,26,0.625
718349058,3,1143,0.512,1193,21,0.615
789842283,3,0,0.967,706,21,0.5
714513033,6,0,0.563,1257,23,0.643
714717483,5,0,0.913,1303,35,0.75
714900408,3,0,0.67,1306,39,0.5
719418933,1,0,0.659,748,20,0.429
720115683,6,1565,0.674,1774,42,2.0
779504058,5,1910,0.863,1209,25,1.5
795979833,6,1074,0.67,1074,31,0.632
717392358,6,1078,0.79,1786,50,0.786
718640508,4,1611,0.74,1456,36,0.714
803366358,5,2192,0.898,1300,25,1.083
709230708,3,1654,0.491,1470,42,0.235
781794708,2,1911,0.528,715,25,0.562
801383808,4,839,1.326,1198,24,1.0
710677608,4,1208,0.957,1556,43,1.048
708217758,5,2061,2.271,1606,30,1.5
714272658,2,2517,1.046,929,31,0.409
717469158,6,1385,0.565,1606,54,0.421
711864783,5,1138,0.675,1199,32,0.6
719407983,4,1483,1.362,2400,60,0.622
710665533,4,1660,0.588,1337,44,0.76
716804283,3,896,0.954,1270,33,0.833
767294658,2,0,0.885,654,14,0.4
709122483,3,1526,0.942,1909,54,0.688
708241233,3,0,1.035,922,25,0.562
717860358,5,2235,0.542,1158,42,0.355
789337233,6,2362,0.89,1323,26,0.444
720902133,4,0,0.481,1025,35,0.667
721043058,5,2149,0.801,1700,35,1.5
711870333,6,1597,0.858,1628,51,1.217
708398283,5,885,1.04,1377,32,0.684
715878183,4,723,0.815,1517,33,0.65
719451483,5,1972,0.783,1528,25,1.083
709110633,5,1748,0.715,1329,24,0.6
721059033,4,774,0.965,1505,33,0.737
779912283,5,1713,0.96,1172,38,0.462
717701733,3,2098,1.16,1646,39,1.294
709913733,4,1529,1.26,1693,32,1.286
718768158,3,0,0.781,1336,23,0.211
721375308,5,1351,0.759,1289,19,0.727
711374283,4,1923,0.505,1416,32,0.778
822893133,6,0,0.94,1608,33,1.2
778465533,3,0,0.75,1885,51,0.545
712138983,3,2216,0.76,1744,53,0.606
716920908,6,1112,1.519,1922,48,0.655
708095133,5,1833,0.428,1448,29,0.381
711195558,6,1603,0.591,1300,36,0.8
772735758,6,1895,0.387,1366,31,0.632
712024908,6,1257,0.891,1439,39,1.053
778239933,6,2043,0.583,1241,46,0.643
714893733,3,809,1.566,1917,33,0.941
754886958,4,1672,0.696,1391,39,0.625
710104908,4,2517,0.938,1246,31,0.824
710558883,5,1044,1.08,1248,27,0.688
713827383,3,2493,0.665,1936,44,1.316
720267033,3,1786,1.06,2375,63,0.575
712049208,3,2517,0.484,1238,25,1.083
708688608,5,1985,1.346,1626,41,0.864
716223708,3,710,0.731,791,22,0.833
713217858,5,0,0.479,1204,28,0.333
819352983,5,2008,0.691,1300,33,0.5
711019308,3,1535,1.138,1612,47,0.88
768600558,4,1658,0.638,1071,28,1.0
710202783,3,1721,0.68,1378,37,0.762
712899333,6,1084,0.63,1100,29,0.381
767036433,5,1152,0.94,2052,45,0.607
793473033,3,2517,0.949,1349,33,1.357
721232058,6,977,0.893,1215,36,0.714
719443683,3,2137,1.048,1149,25,0.562
715449333,5,1540,1.142,2354,50,0.786
717998058,6,2019,0.525,2644,40,0.481
779610033,3,1799,1.022,918,14,0.556
827332983,3,2113,0.618,1362,31,1.214
721183983,6,1013,0.575,1222,37,0.85
718426533,4,0,0.62,1364,32,0.684
710698233,4,1203,0.93,1463,40,1.0
780253533,5,2318,1.265,1631,31,0.824
793581933,4,1513,0.802,1878,55,0.41
719229708,6,838,0.591,1489,32,0.455
715158483,3,1603,1.167,1437,37,0.609
809296308,4,2332,0.755,1313,37,0.609
778176108,4,1412,0.722,1290,38,0.462
796532958,4,1124,1.391,1975,49,1.579
709345008,1,0,0.644,807,22,0.692
717049533,5,1466,0.512,1438,28,0.556
719366358,6,1692,0.701,1233,29,0.611
721417233,3,0,0.676,709,27,0.421
711622683,4,1387,0.861,1597,39,0.56
714578283,6,0,0.865,1283,28,1.154
769574883,3,2517,0.892,1101,37,0.276
717643608,3,1601,0.493,1593,36,0.333
709198158,6,1928,0.412,1631,46,0.533
712419708,6,2259,1.134,2194,53,0.606
709103358,6,0,0.605,1128,27,0.929
716966808,6,1667,0.566,1497,35,0.25
772264383,4,0,1.058,1385,50,0.515
721057758,4,0,1.337,1449,27,1.455
769137108,3,0,1.004,974,28,0.273
717640083,3,0,0.749,731,18,0.5
716445783,4,0,0.791,1191,37,1.176
708579633,4,1788,0.631,1421,34,0.308
718715583,4,1010,0.81,1256,35,0.591
778686408,4,1040,0.904,1744,50,0.852
715015683,5,1993,0.777,1766,39,0.625
805254708,5,1276,1.389,2229,48,0.778
710462433,6,894,1.285,1773,39,1.053
721342383,6,0,1.078,1860,37,0.85
720179883,3,0,0.684,1179,27,0.688
794977533,3,0,0.749,906,16,0.333
779445108,6,1616,0.466,2781,54,0.35
718193958,5,1728,0.652,1650,53,0.606
710955633,6,1999,0.812,1446,37,0.762
716149383,6,895,0.658,1703,48,0.371
752604633,2,0,0.856,761,17,0.214
713889933,4,0,0.533,1536,44,0.63
709446783,3,2480,0.543,1373,36,1.118
789115833,5,1034,0.759,1256,29,0.706
711242058,1,2517,0.766,643,16,0.231
787623858,4,1938,0.426,1215,45,0.406
709040508,6,1961,1.125,2244,58,0.706
708864708,4,1729,0.408,1409,36,0.5
717758583,4,1975,0.708,1469,23,1.091
715416633,4,960,0.709,1847,59,0.405
717956283,5,1945,0.886,1277,29,0.526
721379433,6,0,0.695,1227,24,0.5
712027683,3,1184,0.85,1336,38,0.652
716027208,4,706,1.317,1110,58,0.349
720475233,6,1412,0.763,1474,26,0.857
712275108,4,1618,1.073,1955,44,0.76
718121658,5,0,0.701,660,17,0.308
711593808,2,0,1.037,888,18,1.25
716222808,6,1170,1.297,1785,45,1.143
718731183,1,788,0.526,705,14,0.273
788779008,3,1822,0.593,1211,25,0.923
710404533,6,862,0.65,1391,40,0.212
711173058,4,1782,0.976,1407,29,0.812
715383108,5,2174,0.426,1616,50,0.515
711697158,6,1311,0.995,1498,43,0.536
709186983,3,2252,0.831,1536,38,0.652
808964433,4,1378,0.799,1594,45,0.452
711948333,6,710,0.735,1190,30,0.5
710541858,6,1430,0.822,1248,37,0.85
713865333,3,0,0.993,827,21,0.75
797707008,6,0,0.685,920,18,0.5
713490483,6,0,0.676,1755,54,0.543
720370533,3,0,0.737,804,15,0.5
779743908,4,0,0.296,1196,30,0.429
718675158,4,361,0.963,850,22,0.692
710784333,3,1314,1.487,1644,28,0.647
816596583,6,693,0.914,1749,50,0.429
717517758,3,845,1.328,2307,45,0.8
712880283,3,1113,0.717,1757,45,0.607
753226158,6,1853,0.963,1826,35,1.059
720605808,2,0,0.672,799,17,0.214
758317233,4,1575,0.625,2121,60,0.579
711028308,4,0,0.619,1468,29,0.381
814852533,3,1185,0.552,1482,46,0.643
711526533,4,2104,0.955,1726,37,0.85
804403908,4,1118,0.658,1806,31,0.409
716999883,5,1437,0.584,1405,43,0.387
716452083,5,1150,1.064,2052,50,0.724
787599258,6,1309,0.504,1175,34,0.7
714495258,4,479,0.553,1786,37,0.37
717713283,6,1077,0.872,1675,58,0.415
789317883,4,1705,0.807,1200,36,0.895
714500883,4,819,0.499,1283,37,0.542
789467508,5,1570,0.908,1937,57,0.781
710317758,4,1528,1.142,2033,38,0.727
711231558,6,2517,1.455,1915,37,1.056
716829483,4,2217,1.06,1988,36,0.895
779713608,5,1358,1.242,1648,30,1.5
711628458,4,901,0.825,1902,45,0.667
718943508,3,2170,0.524,1454,35,0.522
770724558,6,0,0.65,838,24,0.412
783561558,4,0,0.709,1918,61,0.649
719309958,4,0,0.881,837,25,0.667
788785083,6,1040,0.729,4311,78,0.56
780481308,3,1550,0.692,1567,33,0.32
711757383,4,0,0.668,1905,39,0.345
787550808,5,1566,0.539,1422,26,0.529
779863533,6,0,0.867,1680,32,0.778
714529233,3,1593,0.869,1652,41,0.367
708177333,5,2485,0.736,1158,26,0.857
812019933,3,2021,0.906,1797,46,0.586
708557358,4,1355,0.69,1911,55,0.571
713580633,6,0,0.767,1260,27,0.688
711466533,5,852,0.433,1489,45,0.324
802276683,3,1372,0.896,1794,31,1.385
780913308,6,2517,0.501,1510,42,0.75
